Time Node entropy gini t05 enrate ginirate t05rate apa cusum
9 gw-6 4.02193 0.935 6.15836 0.0242605 0.00531915 0.0408035 1 0
9 gw-7 4.22193 0.945 6.6823 0.0242605 0.00531915 0.0408035 1 0
9 gw-8 3.83659 0.925926 5.65685 0.0497373 0.0110673 0.0846875 1 0
9 gw-9 4.64911 0.954294 8.31829 0.0152892 0.000357707 0.037921 1 0
9 gw-10 4.85964 0.962604 8.96718 0.0730666 0.0153402 0.117875 1 0
9 gw-11 4.90707 0.96384 9.14592 0.0406676 0.00662097 0.0734622 1 0
9 gw-12 4.78714 0.959834 8.74586 0.00823119 1.15668e-16 0.0194926 1 0
9 gw-13 5.40832 0.973338 11.4504 0.0423573 0.00716879 0.070981 1 0
9 gw-14 5.40879 0.972645 11.5296 0.00660226 0.00191993 0.0114628 1 0
9 gw-15 5.80507 0.978574 13.759 0.0197884 0.00376274 0.0320523 1 0
9 gw-16 5.81432 0.978877 13.7821 0.00493268 0.000367123 0.0173521 1 0
9 prod-bb-1 5.81432 0.978877 13.7821 0.00493268 0.000367123 0.0173521 1 0
10 good-leaf-1 3.32193 0.9 4.32456 0 0 0 1 0
10 evil-leaf-2 3.12193 0.88 3.95407 0.068448 0.0232558 0.103384 1 0
10 evil-leaf-3 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
10 good-leaf-4 3.32193 0.9 4.32456 0.255244 0.097561 0.371938 1 0
10 evil-leaf-5 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
10 good-leaf-6 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
10 good-leaf-7 3.12193 0.88 3.95407 1.42248e-16 0 0 1 0
10 good-leaf-8 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
10 evil-leaf-9 2.92193 0.86 3.58359 0.120412 0.0444444 0.17134 1 0
10 evil-leaf-10 3.32193 0.9 4.32456 0 0 0 1 0
10 good-leaf-11 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
10 good-leaf-12 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
10 good-leaf-13 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
10 good-leaf-14 3.32193 0.9 4.32456 0 0 0 1 0
10 evil-leaf-15 3.32193 0.9 4.32456 0.136896 0.0465116 0.206767 1 0
10 evil-leaf-16 2.92193 0.86 3.58359 0.0265204 0.0238095 0.0173035 1 0
10 gw-1 4.12193 0.94 6.42033 0.0612083 0.0162162 0.0968762 1 0
10 gw-2 4.02193 0.935 6.15836 0.0456237 0.0163043 0.0599247 1 0
