Time Node entropy gini t05 enrate ginirate t05rate apa cusum m_cusum
251 gw-16 5.99173 0.982178 14.4624 0.17979 0.0146724 0.472078 0 1 16.6176
251 prod-bb-1 5.99173 0.982178 14.4624 0.17979 0.0146724 0.472078 0 1 16.8781
252 good-leaf-1 4.13434 0.932785 6.68353 0.153244 0.0175832 0.35618 0 0 0.010904
252 evil-leaf-2 4.35656 0.946502 7.22786 0.274483 0.048433 0.574698 0 1 10.3641
252 evil-leaf-3 4.38452 0.943759 7.39704 0.282662 0.0453941 0.611555 0 1 10.0605
252 good-leaf-4 3.82454 0.91358 5.90146 0.0668281 0.003367 0.197487 0 0 0
252 evil-leaf-5 4.53267 0.954733 7.7159 0.264355 0.0415264 0.565661 0 1 10.1139
252 good-leaf-6 3.98619 0.932785 6.10052 0.225905 0.0493827 0.43481 0 0 0
252 good-leaf-7 4.35656 0.946502 7.22786 0.274483 0.048433 0.574698 0 0 0.0319714
252 good-leaf-8 4.53267 0.954733 7.7159 0.393967 0.0740741 0.814739 0 0 0.0432253
252 evil-leaf-9 4.35656 0.946502 7.22786 0.215231 0.0325477 0.466633 0 1 10.2496
252 evil-leaf-10 4.35656 0.946502 7.22786 0.215231 0.0325477 0.466633 0 1 9.94154
252 good-leaf-11 4.35656 0.946502 7.22786 0.339808 0.0648148 0.699956 0 0 0.0282289
252 good-leaf-12 4.13434 0.932785 6.68353 0.153244 0.0175832 0.35618 0 0 0.0165019
252 good-leaf-13 4.60674 0.957476 7.94137 0.416748 0.0771605 0.867768 0 0 0.0493403
252 good-leaf-14 4.25453 0.941015 6.9653 0.308429 0.058642 0.638202 0 0 0.0272407
252 evil-leaf-15 4.18045 0.938272 6.73983 0.222964 0.0393162 0.468373 0 1 10.0244
252 evil-leaf-16 4.23637 0.943759 6.81402 0.239322 0.0453941 0.484536 0 1 10.6362
252 gw-1 4.86371 0.954882 9.44843 0.179961 0.0158315 0.471643 0 1 9.48311
252 gw-2 4.67891 0.949704 8.74915 0.108241 0.00497793 0.309303 0 1 8.57838
252 gw-3 4.88766 0.962278 9.18783 0.179834 0.0217129 0.424686 0 1 8.88869
252 gw-4 5.109 0.967456 10.0536 0.335032 0.0456631 0.781709 0 0 0.0820582
252 gw-5 5.01756 0.965237 9.70196 0.217285 0.0268475 0.511132 0 1 14.2631
252 gw-6 5.01366 0.9648 9.69939 0.290789 0.043027 0.657085 0 0 0.0633805
252 gw-7 5.04744 0.963476 9.95135 0.286979 0.0359953 0.687704 0 0 0.0782899
252 gw-8 4.75776 0.954882 8.8797 0.172204 0.0177028 0.430101 0 1 15.2245
252 gw-9 5.48877 0.970101 12.362 0.105515 0.00489656 0.322523 0 1 11.9085
252 gw-10 5.58852 0.975002 12.5014 0.148783 0.0127302 0.392421 0 1 6.13305
252 gw-11 5.61982 0.9762 12.5703 0.157344 0.0142078 0.4032 0 1 10.4542
252 gw-12 5.49027 0.9728 12.1284 0.13645 0.0104425 0.375531 0 1 10.6239
252 gw-13 5.93654 0.978707 14.7202 0.075724 0.00363265 0.233921 0 1 12.4533
252 gw-14 5.93342 0.979488 14.5799 0.0819102 0.0049461 0.238157 0 1 10.6533
252 gw-15 6.16367 0.982454 15.9366 0.0360853 0.00138466 0.111295 0 1 17.7199
252 gw-16 6.20326 0.983911 15.983 0.0353041 0.00176427 0.10514 0 1 16.6634
252 prod-bb-1 6.20307 0.983888 15.9839 0.0352712 0.0017416 0.105203 0 1 16.9223
253 good-leaf-1 2.58496 0.833333 2.89898 0.374758 0.106618 0.56625 0 0 0
253 evil-leaf-2 2.58496 0.833333 2.89898 0.40665 0.119565 0.598916 0 1 10.2751
253 evil-leaf-3 2.58496 0.833333 2.89898 0.410434 0.117006 0.608089 0 1 9.96436
253 good-leaf-4 2.25163 0.777778 2.42069 0.411268 0.148649 0.589816 0 0 0
253 evil-leaf-5 2.58496 0.833333 2.89898 0.429704 0.127155 0.624285 0 1 10.0157
253 good-leaf-6 2.58496 0.833333 2.89898 0.35152 0.106618 0.524798 0 0 0
253 good-leaf-7 2.58496 0.833333 2.89898 0.40665 0.119565 0.598916 0 0 0
253 good-leaf-8 2.58496 0.833333 2.89898 0.429704 0.127155 0.624285 0 0 0
253 evil-leaf-9 2.58496 0.833333 2.89898 0.40665 0.119565 0.598916 0 1 10.1546
253 evil-leaf-10 2.58496 0.833333 2.89898 0.40665 0.119565 0.598916 0 1 9.84572
253 good-leaf-11 2.58496 0.833333 2.89898 0.40665 0.119565 0.598916 0 0 0
253 good-leaf-12 2.58496 0.833333 2.89898 0.374758 0.106618 0.56625 0 0 0
253 good-leaf-13 2.58496 0.833333 2.89898 0.438874 0.129656 0.634952 0 0 0
253 good-leaf-14 2.58496 0.833333 2.89898 0.39242 0.114431 0.583797 0 0 0
253 evil-leaf-15 2.58496 0.833333 2.89898 0.381655 0.111842 0.569873 0 1 9.93168
253 evil-leaf-16 2.25163 0.777778 2.42069 0.4685 0.175872 0.644749 0 1 10.5467
253 gw-1 2.58496 0.833333 2.89898 0.468521 0.127292 0.693179 0 1 9.29882
253 gw-2 2.25163 0.777778 2.42069 0.518771 0.181031 0.723323 0 1 8.37343
253 gw-3 2.58496 0.833333 2.89898 0.471124 0.133999 0.684476 0 1 8.70399
253 gw-4 2.58496 0.833333 2.89898 0.494037 0.138634 0.711648 0 0 0
253 gw-5 2.58496 0.833333 2.89898 0.484817 0.136654 0.701197 0 1 14.0748
253 gw-6 2.58496 0.833333 2.89898 0.484416 0.136263 0.701117 0 0 0
253 gw-7 2.58496 0.833333 2.89898 0.487867 0.135076 0.708685 0 0 0
253 gw-8 2.25163 0.777778 2.42069 0.526746 0.185472 0.727391 0 1 15.0379
253 gw-9 3.25163 0.888889 4.2518 0.407586 0.0837151 0.656059 0 1 11.5996
253 gw-10 3.25163 0.888889 4.2518 0.418159 0.0883214 0.659895 0 1 5.84225
253 gw-11 3.58496 0.916667 4.9282 0.362086 0.0609848 0.607949 0 1 10.1825
253 gw-12 3.4183 0.902778 4.59 0.377391 0.0719801 0.621551 0 1 10.3606
253 gw-13 4.08878 0.930057 6.51332 0.311253 0.0497085 0.557524 0 1 12.0485
253 gw-14 4.33496 0.947917 7.08052 0.269399 0.0322322 0.514364 0 1 10.3017
253 gw-15 5.1723 0.966944 10.51 0.160841 0.0157868 0.340515 0 1 17.3937
253 gw-16 5.21812 0.96974 10.5232 0.158811 0.0144022 0.3416 0 1 16.3288
253 prod-bb-1 5.21812 0.96974 10.5232 0.158784 0.0143799 0.341638 0 1 16.5856
254 good-leaf-1 3.85217 0.927336 5.67791 0.490222 0.112803 0.958591 0 0 0
254 evil-leaf-2 3.96982 0.934256 5.96206 0.535734 0.121107 1.05661 0 1 10.2712
254 evil-leaf-3 3.69012 0.913495 5.34702 0.427532 0.0961938 0.844448 0 1 9.93799
254 good-leaf-4 3.96982 0.934256 5.96206 0.763086 0.201186 1.46296 0 0 0
254 evil-leaf-5 3.96982 0.934256 5.96206 0.535734 0.121107 1.05661 0 1 10.0055
254 good-leaf-6 3.96982 0.934256 5.96206 0.535734 0.121107 1.05661 0 0 0
254 good-leaf-7 3.85217 0.927336 5.67791 0.490222 0.112803 0.958591 0 0 0
254 good-leaf-8 3.85217 0.927336 5.67791 0.490222 0.112803 0.958591 0 0 0
254 evil-leaf-9 3.73452 0.920415 5.39377 0.44471 0.104498 0.860574 0 1 10.1304
254 evil-leaf-10 3.73452 0.920415 5.39377 0.44471 0.104498 0.860574 0 1 9.82093
254 good-leaf-11 3.33718 0.892734 4.49457 0.290996 0.0712803 0.550398 0 0 0
254 good-leaf-12 3.85217 0.927336 5.67791 0.490222 0.112803 0.958591 0 0 0
254 good-leaf-13 3.96982 0.934256 5.96206 0.535734 0.121107 1.05661 0 0 0
254 good-leaf-14 3.96982 0.934256 5.96206 0.535734 0.121107 1.05661 0 0 6.34392e-05
254 evil-leaf-15 4.08746 0.941176 6.24621 0.581246 0.129412 1.15462 0 1 9.9332
254 evil-leaf-16 3.69012 0.913495 5.34702 0.638865 0.174493 1.20888 0 1 10.5344
254 gw-1 4.41506 0.948889 7.42197 0.707979 0.138667 1.5602 0 1 9.27858
254 gw-2 4.25075 0.934602 7.09116 0.887856 0.201631 1.9294 0 1 8.33902
254 gw-3 4.54839 0.953333 7.84976 0.759559 0.144 1.70777 0 1 8.69901
254 gw-4 4.50689 0.953333 7.67106 0.743503 0.144 1.64612 0 0 0
254 gw-5 4.34919 0.946492 7.21165 0.682497 0.135791 1.48765 0 1 14.0441
254 gw-6 4.41506 0.948889 7.42197 0.707979 0.138667 1.5602 0 0 0
254 gw-7 4.48173 0.951111 7.63587 0.733769 0.141333 1.63398 0 0 0
254 gw-8 4.27291 0.94 7.10249 0.897695 0.208571 1.93408 0 1 15.0158
254 gw-9 5.00799 0.96522 9.67452 0.540147 0.0858726 1.2754 0 1 11.5529
254 gw-10 5.16376 0.96849 10.3229 0.588054 0.0895511 1.42788 0 1 5.83851
254 gw-11 5.0968 0.964665 10.2033 0.421717 0.0523622 1.07039 0 1 10.1644
254 gw-12 4.96474 0.961111 9.69052 0.452401 0.0646154 1.11122 0 1 10.3348
254 gw-13 5.57947 0.975765 12.3886 0.364581 0.049146 0.902047 0 1 11.9974
254 gw-14 5.5224 0.972552 12.4003 0.273922 0.0259889 0.751321 0 1 10.2649
254 gw-15 5.91612 0.979256 14.5587 0.143808 0.0127323 0.385229 0 1 17.3477
254 gw-16 5.94628 0.9798 14.6597 0.139544 0.0103739 0.393088 0 1 16.2824
254 prod-bb-1 5.94628 0.9798 14.6597 0.139544 0.0103739 0.393088 0 1 16.5375
255 good-leaf-1 4.27835 0.941176 7.10149 0.110635 0.0149254 0.250721 0 0 0.0228783
255 evil-leaf-2 4.30055 0.942907 7.13454 0.0833133 0.00925926 0.196657 0 1 10.2998
255 evil-leaf-3 4.73452 0.960208 8.45637 0.283028 0.0511364 0.581511 0 1 10.0003
255 good-leaf-4 4.61687 0.956747 8.05452 0.162995 0.0240741 0.350962 0 0 0.0526758
255 evil-leaf-5 4.71232 0.958478 8.42331 0.187037 0.0259259 0.412818 0 1 10.0659
255 good-leaf-6 4.47702 0.948097 7.73731 0.127766 0.0148148 0.297758 0 0 0.0426076
255 good-leaf-7 4.35159 0.944637 7.31952 0.129648 0.0186567 0.289122 0 0 0.0344999
255 good-leaf-8 4.31497 0.944637 7.15166 0.120141 0.0186567 0.259557 0 0 0.0273851
255 evil-leaf-9 4.53585 0.953287 7.82054 0.214573 0.0357143 0.449922 0 1 10.1751
255 evil-leaf-10 4.51071 0.946367 7.91019 0.207841 0.0281955 0.466543 0 1 9.8678
255 good-leaf-11 4.63129 0.955017 8.18933 0.387788 0.0697674 0.822048 0 0 0.0554611
255 good-leaf-12 4.25615 0.942907 6.95073 0.104871 0.016791 0.22417 0 0 0.023895
255 good-leaf-13 4.6535 0.956747 8.22239 0.17222 0.0240741 0.379117 0 0 0.0572431
255 good-leaf-14 4.53585 0.953287 7.82054 0.142584 0.0203704 0.311717 0 0 0.0504723
255 evil-leaf-15 4.61687 0.953287 8.17222 0.129521 0.0128676 0.308348 0 1 9.98892
255 evil-leaf-16 4.396 0.944637 7.50333 0.19129 0.0340909 0.403275 0 1 10.5791
