Time Node entropy gini t05 enrate ginirate t05rate apa cusum
83 gw-14 7.05201 0.991972 21.3664 0.0542615 0.00268397 0.138878 1 0
83 gw-15 7.56719 0.994151 26.2687 0.0015222 0.000167678 0.000267168 1 0
83 gw-16 7.53308 0.994048 25.8972 0.00187651 4.18743e-05 0.00836151 1 0
83 prod-bb-1 7.49249 0.993905 25.4909 0.00724143 0.000111789 0.0237849 1 0
84 good-leaf-1 3.12193 0.88 3.95407 1.42248e-16 0 0 1 0
84 evil-leaf-2 7.77958 0.995395 27.6966 0.00179288 2.96538e-06 0.00648384 1 0
84 evil-leaf-3 7.69779 0.99517 26.8326 0.00238423 4.78065e-05 0.00739547 1 0
84 good-leaf-4 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
84 evil-leaf-5 7.65548 0.995025 26.4134 0.0152445 0.000371393 0.0440672 1 0
84 good-leaf-6 3.12193 0.88 3.95407 0.068448 0.0232558 0.103384 1 0
84 good-leaf-7 3.12193 0.88 3.95407 0.068448 0.0232558 0.103384 1 0
84 good-leaf-8 3.12193 0.88 3.95407 0.146955 0.047619 0.230608 1 0
84 evil-leaf-9 7.68383 0.995122 26.6936 0.011419 0.000304788 0.0328493 1 0
84 evil-leaf-10 7.74147 0.995327 27.2575 0.00199194 0.000108585 0.00385477 1 0
84 good-leaf-11 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
84 good-leaf-12 3.32193 0.9 4.32456 0.136896 0.0465116 0.206767 1 0
84 good-leaf-13 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
84 good-leaf-14 2.64644 0.82 3.15215 0.203342 0.0888889 0.271104 1 0
84 evil-leaf-15 7.73889 0.995306 27.2459 0.00545781 0.000149655 0.0151434 1 0
84 evil-leaf-16 7.68822 0.995124 26.7516 0.00567772 0.00016045 0.0156676 1 0
84 gw-1 7.79679 0.995439 27.887 0.00155413 7.79757e-05 0.00323665 1 0
84 gw-2 7.72959 0.995262 27.166 0.000215808 2.08131e-05 0.00167828 1 0
84 gw-3 7.67865 0.995078 26.6705 0.0134714 0.000289612 0.0402217 1 0
84 gw-4 3.50689 0.906667 4.83847 0.0390787 0.00915942 0.0667918 1 0
84 gw-5 8.0514 0.996036 31.0376 0.0138774 0.000308193 0.0420289 1 0
84 gw-6 3.875 0.929688 5.70711 0.166034 0.0458984 0.272146 1 0
84 gw-7 3.09307 0.877551 3.91773 0.226733 0.0639456 0.347044 1 0
84 gw-8 7.82932 0.995515 28.3591 0.00047744 9.08535e-06 0.00290847 1 0
84 gw-9 6.78125 0.990479 19.1777 0.0400095 0.00189202 0.106008 1 0
84 gw-10 6.18886 0.986001 15.1494 0.0211101 0.00214336 0.0405775 1 0
84 gw-11 6.16898 0.985803 15.0324 0.0594168 0.00349984 0.139026 1 0
84 gw-12 5.85217 0.981834 13.3558 0.0503468 0.00415057 0.106686 1 0
84 gw-13 7.12183 0.992243 22.0243 0.0134267 0.00041942 0.0397615 1 0
84 gw-14 6.68026 0.989453 18.5886 0.0527157 0.00253988 0.130007 1 0
84 gw-15 7.52441 0.993933 25.8685 0.00565325 0.000218992 0.0152362 1 0
84 gw-16 7.49564 0.9938 25.5957 0.00497089 0.000249087 0.0116415 1 0
84 prod-bb-1 7.53061 0.993949 25.9349 0.00508774 4.40176e-05 0.0174168 1 0
85 good-leaf-1 2 0.75 2 0.35937 0.147727 0.494192 1 0
85 evil-leaf-2 7.70736 0.995215 26.9137 0.00928308 0.000180562 0.0282666 1 0
85 evil-leaf-3 7.67948 0.995122 26.6356 0.00237856 4.78042e-05 0.00734118 1 0
85 good-leaf-4 2 0.75 2 0.35937 0.147727 0.494192 1 0
85 evil-leaf-5 7.74819 0.995349 27.3258 0.0121102 0.000325096 0.034542 1 0
85 good-leaf-6 2 0.75 2 0.35937 0.147727 0.494192 1 0
85 good-leaf-7 2 0.75 2 0.35937 0.147727 0.494192 1 0
85 good-leaf-8 2 0.75 2 0.35937 0.147727 0.494192 1 0
85 evil-leaf-9 7.65105 0.995025 26.3549 0.00426525 9.8009e-05 0.0126872 1 0
85 evil-leaf-10 7.58496 0.994792 25.7128 0.0202164 0.00053795 0.0566694 1 0
85 good-leaf-11 2 0.75 2 0.39794 0.166667 0.537525 1 0
85 good-leaf-12 2 0.75 2 0.39794 0.166667 0.537525 1 0
85 good-leaf-13 2 0.75 2 0.35937 0.147727 0.494192 1 0
85 good-leaf-14 2 0.75 2 0.244268 0.0853659 0.365512 1 0
85 evil-leaf-15 7.71425 0.995238 26.9828 0.00318457 6.77936e-05 0.00965661 1 0
85 evil-leaf-16 7.70472 0.995193 26.9019 0.00214631 6.93439e-05 0.00561916 1 0
85 gw-1 7.71425 0.995238 26.9828 0.0105871 0.000202289 0.0324242 1 0
85 gw-2 7.66534 0.995074 26.4956 0.00831251 0.000189309 0.0246758 1 0
85 gw-3 7.74819 0.995349 27.3258 0.00905652 0.000272226 0.0245668 1 0
85 gw-4 2 0.75 2 0.429694 0.172794 0.586646 1 0
85 gw-5 7.94527 0.995735 29.8418 0.0131813 0.000301695 0.0385285 1 0
85 gw-6 2 0.75 2 0.483871 0.193277 0.64956 1 0
85 gw-7 1.58496 0.666667 1.4641 0.487576 0.24031 0.626289 1 0
85 gw-8 7.80041 0.995428 28.0457 0.00369135 8.68535e-05 0.0110481 1 0
85 gw-9 6.60481 0.98914 17.9764 0.0260183 0.0013513 0.0626403 1 0
85 gw-10 6.20945 0.986486 15.2047 0.00332677 0.000492367 0.00364775 1 0
85 gw-11 5.93074 0.983607 13.6205 0.0386195 0.0022284 0.0939256 1 0
85 gw-12 6.20607 0.985734 15.3777 0.0604736 0.00397238 0.151387 1 0
85 gw-13 7.10908 0.992202 21.891 0.00179013 4.05836e-05 0.00605318 1 0
85 gw-14 6.81471 0.990406 19.5823 0.0201265 0.000963167 0.0534609 1 0
85 gw-15 7.42903 0.993438 25.0949 0.0126756 0.00049886 0.0299041 1 0
85 gw-16 7.41183 0.993489 24.7982 0.0111812 0.000313316 0.0311554 1 0
85 prod-bb-1 7.40673 0.993481 24.738 0.0164499 0.000470067 0.0461493 1 0
86 good-leaf-1 3.75416 0.919067 5.53829 0.877082 0.225423 1.76915 1 0
86 evil-leaf-2 7.73696 0.995211 27.3146 0.00384078 3.90203e-06 0.0148974 1 0
86 evil-leaf-3 7.77511 0.995229 27.7935 0.0124526 0.000107811 0.0434697 1 0
86 good-leaf-4 3.98619 0.932785 6.10052 0.993094 0.243713 2.05026 1 0
86 evil-leaf-5 7.70225 0.994993 27.0493 0.00593011 0.000357639 0.010116 1 0
86 good-leaf-6 4.68081 0.960219 8.16684 1.34041 0.280293 3.08342 1 0
