Time	normal	yingdui200	yingdui50	lianggeqianzhui	5ge	3ge	1ge	9ge
38	1	1	1	0.988888889	0.970707071	0.991452991	0.987407407	0.971428571
39	0.977777778	0.977777778	0.977777778	0.965432099	1	1.009615385	0.99047619	0.971428571
40	0.977777778	0.977777778	0.977777778	0.988888889	0.981818182	0.969230769	0.993333333	0.96984127
41	1.02345679	1.02345679	1.02345679	0.988888889	0.988636364	0.984615385	0.971666667	0.985714286
42	0.964197531	0.964197531	0.964197531	1.011111111	0.980808081	0.958974359	0.979259259	1
43	0.964197531	0.964197531	0.964197531	0.941975309	0.98989899	1.000854701	0.993333333	0.985714286
44	0.966666667	0.966666667	0.966666667	0.977777778	1.001010101	0.976068376	0.985925926	0.971428571
45	0.988888889	0.988888889	0.988888889	0.988888889	0.954545455	0.976923077	0.98	1.001587302
46	0.977777778	0.977777778	0.977777778	1	0.981818182	0.969230769	0.953333333	0.971428571
47	1.012345679	1.012345679	1.012345679	0.97654321	0.980808081	0.976068376	0.993333333	0.957142857
48	0.97654321	0.97654321	0.97654321	0.97654321	0.998989899	0.992307692	0.986666667	0.96984127
49	0.988888889	0.988888889	0.988888889	1.012345679	0.993181818	0.986538462	0.98	0.942857143
50	1.013888889	1.013888889	1.013888889	0.988888889	0.980808081	0.984615385	0.986666667	0.998412698
51	0.955555556	0.955555556	0.955555556	0.988888889	0.955555556	0.969230769	0.947407407	0.982142857
52	1	1	1	1	0.952525253	0.962606838	0.965185185	0.985714286
53	1	1	1	0.975	0.972727273	0.983760684	0.972592593	0.96984127
54	0.988888889	0.988888889	0.988888889	1.02345679	1	0.999145299	0.993333333	0.96984127
55	0.97654321	0.97654321	0.97654321	0.990123457	0.954545455	0.969230769	0.973333333	0.957142857
56	0.965432099	0.965432099	0.965432099	1.001234568	0.991919192	0.962393162	0.994074074	0.984126984
57	0.955555556	0.955555556	0.955555556	0.988888889	1.002272727	0.991452991	1.006666667	0.985714286
58	0.988888889	0.988888889	0.988888889	0.941975309	0.963636364	0.968376068	0.951851852	0.985714286
59	0.988888889	0.988888889	0.988888889	1	0.972727273	0.992307692	0.993333333	0.955555556
60	0.977777778	0.977777778	0.977777778	0.966666667	1.01010101	0.994230769	1.015740741	0.957142857
61	0.988888889	0.988888889	0.988888889	1	0.981818182	1	0.972592593	0.971428571
62	1	1	1	1.012345679	0.980808081	0.969230769	0.972592593	0.985714286
63	1.001234568	1.001234568	1.001234568	0.966666667	1.01010101	0.976923077	0.994074074	0.971428571
64	1.012345679	1.012345679	1.012345679	0.977777778	0.972727273	0.991452991	0.974259259	0.967857143
65	0.977777778	0.977777778	0.977777778	0.988888889	1.009090909	0.991452991	0.972592593	1
66	0.991666667	0.991666667	0.991666667	0.988888889	0.972727273	0.967521368	0.985925926	0.984126984
67	1	1	1	1.011111111	0.981818182	0.992307692	0.986666667	0.985714286
68	0.966666667	0.966666667	0.966666667	0.977777778	0.961616162	0.942735043	0.951111111	0.957142857
69	0.977777778	0.977777778	0.977777778	0.966666667	0.998989899	0.991452991	0.992592593	1.001587302
70	0.966666667	0.966666667	0.966666667	0.933333333	1.037373737	1.007692308	1.013333333	0.984126984
71	0.977777778	0.977777778	0.977777778	1	0.953535354	0.983760684	0.993333333	0.971428571
72	0.990123457	0.990123457	0.990123457	0.954320988	0.972727273	0.977777778	0.966666667	0.971428571
73	0.965432099	0.965432099	0.965432099	0.988888889	0.982828283	0.976923077	0.972592593	0.985714286
74	0.977777778	0.977777778	0.977777778	1	0.981818182	0.969230769	0.958333333	0.985714286
75	0.964197531	0.964197531	0.964197531	0.943209877	0.980808081	0.975213675	1	1
76	0.977777778	0.977777778	0.977777778	0.977777778	1	1.015384615	0.993333333	1.014285714
77	0.990123457	0.990123457	0.990123457	0.988888889	0.981818182	0.984615385	0.985925926	0.985714286
78	0.990123457	0.990123457	0.990123457	1.011111111	0.990909091	0.978846154	0.985925926	0.985714286
79	0.990123457	0.990123457	0.990123457	0.966666667	0.962626263	0.958760684	0.966666667	0.971428571
80	0.966666667	0.966666667	0.966666667	0.991666667	0.972727273	0.976068376	0.966666667	1
81	0.971428571	0.971428571	0.971428571	0.982539683	0.990909091	0.991452991	0.993333333	1
82	0.977777778	0.977777778	0.977777778	0.977777778	1	0.976923077	0.98	1.014285714
83	0.966666667	0.966666667	0.966666667	0.955555556	1	1	0.986666667	0.957142857
84	0.988888889	0.988888889	0.988888889	1	0.972727273	0.977777778	0.980740741	1
85	0.988888889	0.988888889	0.988888889	0.965432099	1.017171717	1.026373626	0.992592593	0.984126984
86	1	1	1	0.998765432	0.963636364	0.953846154	0.986666667	0.984126984
87	1.011111111	1.011111111	1.011111111	0.988888889	0.972727273	0.976068376	0.979259259	0.985714286
88	0.977777778	0.977777778	0.977777778	0.965432099	0.990909091	0.984615385	1.007407407	1.03015873
89	1.022222222	1.022222222	1.022222222	1.011111111	0.963636364	0.976068376	0.965925926	0.957142857
90	0.943209877	0.943209877	0.943209877	0.988888889	1.001010101	0.968376068	0.993333333	1.014285714
91	0.988888889	0.988888889	0.988888889	0.977777778	0.990909091	0.992307692	1.008148148	0.957142857
92	0.97654321	0.97654321	0.97654321	0.97654321	0.981818182	0.969230769	0.945925926	0.985714286
93	1	1	1	1	0.972727273	0.969230769	0.973333333	0.985714286
