Time Node interest
1.04021 8 /p/good/good-leaf-4/%FE%26?ndn.Nonce=2777266107
1.05021 1 /p/good/good-leaf-2/%FE%0E?ndn.Nonce=2474296388
1.05025 1 /p/good/good-leaf-4/%FE%26?ndn.Nonce=2777266107
1.1 10 /p/good/good-leaf-2/%FE4?ndn.Nonce=536897132
1.1 12 /p/good/good-leaf-4/%FE%03?ndn.Nonce=3481675236
1.1 13 /p/good/good-leaf-5/%FE%0B?ndn.Nonce=1250080805
1.11004 2 /p/good/good-leaf-2/%FE4?ndn.Nonce=536897132
1.11004 3 /p/good/good-leaf-4/%FE%03?ndn.Nonce=3481675236
1.11004 7 /p/good/good-leaf-5/%FE%0B?ndn.Nonce=1250080805
1.12008 4 /p/good/good-leaf-2/%FE4?ndn.Nonce=536897132
1.12008 5 /p/good/good-leaf-4/%FE%03?ndn.Nonce=3481675236
1.12008 0 /p/good/good-leaf-5/%FE%0B?ndn.Nonce=1250080805
1.13012 6 /p/good/good-leaf-2/%FE4?ndn.Nonce=536897132
1.13012 6 /p/good/good-leaf-4/%FE%03?ndn.Nonce=3481675236
1.14017 8 /p/good/good-leaf-2/%FE4?ndn.Nonce=536897132
1.14021 8 /p/good/good-leaf-4/%FE%03?ndn.Nonce=3481675236
1.15021 1 /p/good/good-leaf-2/%FE4?ndn.Nonce=536897132
1.15025 1 /p/good/good-leaf-4/%FE%03?ndn.Nonce=3481675236
1.2 10 /p/good/good-leaf-2/%FEF?ndn.Nonce=2370880826
1.2 12 /p/good/good-leaf-4/%FE%0E?ndn.Nonce=2260424676
1.2 13 /p/good/good-leaf-5/%FE%01?ndn.Nonce=1224822428
1.21004 2 /p/good/good-leaf-2/%FEF?ndn.Nonce=2370880826
1.21004 3 /p/good/good-leaf-4/%FE%0E?ndn.Nonce=2260424676
1.21004 7 /p/good/good-leaf-5/%FE%01?ndn.Nonce=1224822428
1.22008 4 /p/good/good-leaf-2/%FEF?ndn.Nonce=2370880826
1.22008 5 /p/good/good-leaf-4/%FE%0E?ndn.Nonce=2260424676
1.22008 0 /p/good/good-leaf-5/%FE%01?ndn.Nonce=1224822428
1.23012 6 /p/good/good-leaf-2/%FEF?ndn.Nonce=2370880826
1.23012 6 /p/good/good-leaf-4/%FE%0E?ndn.Nonce=2260424676
1.24017 8 /p/good/good-leaf-2/%FEF?ndn.Nonce=2370880826
1.24021 8 /p/good/good-leaf-4/%FE%0E?ndn.Nonce=2260424676
1.25021 1 /p/good/good-leaf-2/%FEF?ndn.Nonce=2370880826
1.25025 1 /p/good/good-leaf-4/%FE%0E?ndn.Nonce=2260424676
1.3 10 /p/good/good-leaf-2/%FE9?ndn.Nonce=2805718052
1.3 12 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=2648262089
1.3 13 /p/good/good-leaf-5/%FE%03?ndn.Nonce=1791473099
1.31004 2 /p/good/good-leaf-2/%FE9?ndn.Nonce=2805718052
1.31004 3 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=2648262089
1.31004 7 /p/good/good-leaf-5/%FE%03?ndn.Nonce=1791473099
1.32008 4 /p/good/good-leaf-2/%FE9?ndn.Nonce=2805718052
1.32008 5 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=2648262089
1.32008 0 /p/good/good-leaf-5/%FE%03?ndn.Nonce=1791473099
1.33012 6 /p/good/good-leaf-2/%FE9?ndn.Nonce=2805718052
1.33012 6 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=2648262089
1.34017 8 /p/good/good-leaf-2/%FE9?ndn.Nonce=2805718052
1.34021 8 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=2648262089
1.35021 1 /p/good/good-leaf-2/%FE9?ndn.Nonce=2805718052
1.35025 1 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=2648262089
1.4 10 /p/good/good-leaf-2/%FE%3A?ndn.Nonce=1834364256
1.4 12 /p/good/good-leaf-4/%FE%03?ndn.Nonce=1094331567
1.4 13 /p/good/good-leaf-5/%FE%08?ndn.Nonce=863971754
1.41004 2 /p/good/good-leaf-2/%FE%3A?ndn.Nonce=1834364256
1.41004 3 /p/good/good-leaf-4/%FE%03?ndn.Nonce=1094331567
1.41004 7 /p/good/good-leaf-5/%FE%08?ndn.Nonce=863971754
1.42008 4 /p/good/good-leaf-2/%FE%3A?ndn.Nonce=1834364256
1.42008 5 /p/good/good-leaf-4/%FE%03?ndn.Nonce=1094331567
1.42008 0 /p/good/good-leaf-5/%FE%08?ndn.Nonce=863971754
1.43012 6 /p/good/good-leaf-2/%FE%3A?ndn.Nonce=1834364256
1.43012 6 /p/good/good-leaf-4/%FE%03?ndn.Nonce=1094331567
1.44017 8 /p/good/good-leaf-2/%FE%3A?ndn.Nonce=1834364256
1.44021 8 /p/good/good-leaf-4/%FE%03?ndn.Nonce=1094331567
1.45021 1 /p/good/good-leaf-2/%FE%3A?ndn.Nonce=1834364256
1.45025 1 /p/good/good-leaf-4/%FE%03?ndn.Nonce=1094331567
1.5 10 /p/good/good-leaf-2/%FE%03?ndn.Nonce=704511964
1.5 12 /p/good/good-leaf-4/%FE%15?ndn.Nonce=2393944797
1.5 13 /p/good/good-leaf-5/%FE%06?ndn.Nonce=2610716198
1.51004 2 /p/good/good-leaf-2/%FE%03?ndn.Nonce=704511964
1.51004 3 /p/good/good-leaf-4/%FE%15?ndn.Nonce=2393944797
1.51004 7 /p/good/good-leaf-5/%FE%06?ndn.Nonce=2610716198
1.52008 4 /p/good/good-leaf-2/%FE%03?ndn.Nonce=704511964
1.52008 5 /p/good/good-leaf-4/%FE%15?ndn.Nonce=2393944797
1.52008 0 /p/good/good-leaf-5/%FE%06?ndn.Nonce=2610716198
1.53012 6 /p/good/good-leaf-2/%FE%03?ndn.Nonce=704511964
1.53012 6 /p/good/good-leaf-4/%FE%15?ndn.Nonce=2393944797
1.54017 8 /p/good/good-leaf-2/%FE%03?ndn.Nonce=704511964
1.54021 8 /p/good/good-leaf-4/%FE%15?ndn.Nonce=2393944797
1.55021 1 /p/good/good-leaf-2/%FE%03?ndn.Nonce=704511964
1.55025 1 /p/good/good-leaf-4/%FE%15?ndn.Nonce=2393944797
1.6 10 /p/good/good-leaf-2/%FE%09?ndn.Nonce=532720607
1.6 12 /p/good/good-leaf-4/%FEE?ndn.Nonce=1255618591
1.6 13 /p/good/good-leaf-5/%FE8?ndn.Nonce=3410617007
1.61004 2 /p/good/good-leaf-2/%FE%09?ndn.Nonce=532720607
1.61004 3 /p/good/good-leaf-4/%FEE?ndn.Nonce=1255618591
1.61004 7 /p/good/good-leaf-5/%FE8?ndn.Nonce=3410617007
1.62008 4 /p/good/good-leaf-2/%FE%09?ndn.Nonce=532720607
1.62008 5 /p/good/good-leaf-4/%FEE?ndn.Nonce=1255618591
1.62008 0 /p/good/good-leaf-5/%FE8?ndn.Nonce=3410617007
1.63012 6 /p/good/good-leaf-2/%FE%09?ndn.Nonce=532720607
1.63012 6 /p/good/good-leaf-4/%FEE?ndn.Nonce=1255618591
1.64017 8 /p/good/good-leaf-2/%FE%09?ndn.Nonce=532720607
1.64021 8 /p/good/good-leaf-4/%FEE?ndn.Nonce=1255618591
1.65021 1 /p/good/good-leaf-2/%FE%09?ndn.Nonce=532720607
1.65025 1 /p/good/good-leaf-4/%FEE?ndn.Nonce=1255618591
1.7 10 /p/good/good-leaf-2/%FE%02?ndn.Nonce=1738539271
1.7 12 /p/good/good-leaf-4/%FEH?ndn.Nonce=2342330578
1.7 13 /p/good/good-leaf-5/%FE%08?ndn.Nonce=2136356026
1.71004 2 /p/good/good-leaf-2/%FE%02?ndn.Nonce=1738539271
1.71004 3 /p/good/good-leaf-4/%FEH?ndn.Nonce=2342330578
1.71004 7 /p/good/good-leaf-5/%FE%08?ndn.Nonce=2136356026
1.72008 4 /p/good/good-leaf-2/%FE%02?ndn.Nonce=1738539271
1.72008 5 /p/good/good-leaf-4/%FEH?ndn.Nonce=2342330578
1.72008 0 /p/good/good-leaf-5/%FE%08?ndn.Nonce=2136356026
1.73012 6 /p/good/good-leaf-2/%FE%02?ndn.Nonce=1738539271
1.73012 6 /p/good/good-leaf-4/%FEH?ndn.Nonce=2342330578
1.74017 8 /p/good/good-leaf-2/%FE%02?ndn.Nonce=1738539271
1.74021 8 /p/good/good-leaf-4/%FEH?ndn.Nonce=2342330578
1.75021 1 /p/good/good-leaf-2/%FE%02?ndn.Nonce=1738539271
1.75025 1 /p/good/good-leaf-4/%FEH?ndn.Nonce=2342330578
1.8 10 /p/good/good-leaf-2/%FE%03?ndn.Nonce=245036971
1.8 12 /p/good/good-leaf-4/%FE%15?ndn.Nonce=3243416292
1.8 13 /p/good/good-leaf-5/%FE%01?ndn.Nonce=1398018628
1.81004 2 /p/good/good-leaf-2/%FE%03?ndn.Nonce=245036971
1.81004 3 /p/good/good-leaf-4/%FE%15?ndn.Nonce=3243416292
1.81004 7 /p/good/good-leaf-5/%FE%01?ndn.Nonce=1398018628
1.82008 4 /p/good/good-leaf-2/%FE%03?ndn.Nonce=245036971
1.82008 5 /p/good/good-leaf-4/%FE%15?ndn.Nonce=3243416292
1.82008 0 /p/good/good-leaf-5/%FE%01?ndn.Nonce=1398018628
1.83012 6 /p/good/good-leaf-2/%FE%03?ndn.Nonce=245036971
1.83012 6 /p/good/good-leaf-4/%FE%15?ndn.Nonce=3243416292
1.84017 8 /p/good/good-leaf-2/%FE%03?ndn.Nonce=245036971
1.84021 8 /p/good/good-leaf-4/%FE%15?ndn.Nonce=3243416292
1.85021 1 /p/good/good-leaf-2/%FE%03?ndn.Nonce=245036971
1.85025 1 /p/good/good-leaf-4/%FE%15?ndn.Nonce=3243416292
1.9 10 /p/good/good-leaf-2/%FE%07?ndn.Nonce=2565411417
1.9 12 /p/good/good-leaf-4/%FE1?ndn.Nonce=2097629326
1.9 13 /p/good/good-leaf-5/%FE%0B?ndn.Nonce=3092359377
1.91004 2 /p/good/good-leaf-2/%FE%07?ndn.Nonce=2565411417
1.91004 3 /p/good/good-leaf-4/%FE1?ndn.Nonce=2097629326
1.91004 7 /p/good/good-leaf-5/%FE%0B?ndn.Nonce=3092359377
1.92008 4 /p/good/good-leaf-2/%FE%07?ndn.Nonce=2565411417
1.92008 5 /p/good/good-leaf-4/%FE1?ndn.Nonce=2097629326
1.92008 0 /p/good/good-leaf-5/%FE%0B?ndn.Nonce=3092359377
1.93012 6 /p/good/good-leaf-2/%FE%07?ndn.Nonce=2565411417
1.93012 6 /p/good/good-leaf-4/%FE1?ndn.Nonce=2097629326
1.94017 8 /p/good/good-leaf-2/%FE%07?ndn.Nonce=2565411417
1.94021 8 /p/good/good-leaf-4/%FE1?ndn.Nonce=2097629326
1.95021 1 /p/good/good-leaf-2/%FE%07?ndn.Nonce=2565411417
1.95025 1 /p/good/good-leaf-4/%FE1?ndn.Nonce=2097629326
2 10 /p/good/good-leaf-2/%FE%3C?ndn.Nonce=2881897544
2 12 /p/good/good-leaf-4/%FE%3B?ndn.Nonce=2258686071
2 13 /p/good/good-leaf-5/%FE%13?ndn.Nonce=2482421472
2.01004 2 /p/good/good-leaf-2/%FE%3C?ndn.Nonce=2881897544
2.01004 3 /p/good/good-leaf-4/%FE%3B?ndn.Nonce=2258686071
2.01004 7 /p/good/good-leaf-5/%FE%13?ndn.Nonce=2482421472
2.02008 4 /p/good/good-leaf-2/%FE%3C?ndn.Nonce=2881897544
2.02008 5 /p/good/good-leaf-4/%FE%3B?ndn.Nonce=2258686071
2.02008 0 /p/good/good-leaf-5/%FE%13?ndn.Nonce=2482421472
2.03012 6 /p/good/good-leaf-2/%FE%3C?ndn.Nonce=2881897544
2.03012 6 /p/good/good-leaf-4/%FE%3B?ndn.Nonce=2258686071
2.04017 8 /p/good/good-leaf-2/%FE%3C?ndn.Nonce=2881897544
2.04021 8 /p/good/good-leaf-4/%FE%3B?ndn.Nonce=2258686071
2.05021 1 /p/good/good-leaf-2/%FE%3C?ndn.Nonce=2881897544
2.05025 1 /p/good/good-leaf-4/%FE%3B?ndn.Nonce=2258686071
2.1 10 /p/good/good-leaf-2/%FE%11?ndn.Nonce=3008527361
2.1 12 /p/good/good-leaf-4/%FE%01?ndn.Nonce=137274257
2.1 13 /p/good/good-leaf-5/%FE0?ndn.Nonce=2422704909
2.11004 2 /p/good/good-leaf-2/%FE%11?ndn.Nonce=3008527361
2.11004 3 /p/good/good-leaf-4/%FE%01?ndn.Nonce=137274257
2.11004 7 /p/good/good-leaf-5/%FE0?ndn.Nonce=2422704909
2.12008 4 /p/good/good-leaf-2/%FE%11?ndn.Nonce=3008527361
2.12008 5 /p/good/good-leaf-4/%FE%01?ndn.Nonce=137274257
2.12008 0 /p/good/good-leaf-5/%FE0?ndn.Nonce=2422704909
2.13012 6 /p/good/good-leaf-2/%FE%11?ndn.Nonce=3008527361
2.13012 6 /p/good/good-leaf-4/%FE%01?ndn.Nonce=137274257
2.14017 8 /p/good/good-leaf-2/%FE%11?ndn.Nonce=3008527361
