Time Node gini
10 gw-125 0
10 gw-178 0.151629
10 gw-195 0.166655
10 gw-127 0
10 gw-150 0.828366
10 gw-152 0.119987
10 gw-257 0
10 gw-282 0
10 gw-133 0.26707
10 gw-134 0.5
10 gw-202 0.60125
10 gw-262 0
10 gw-236 0.521815
10 gw-237 0
10 gw-203 0
10 gw-200 0.239198
10 gw-201 0.38579
10 gw-137 0.546229
10 gw-138 0
10 gw-140 0.496289
10 gw-141 0.155128
10 gw-228 0.348902
10 gw-170 0.76821
10 gw-227 0.301783
10 gw-147 0
10 gw-149 0.381328
10 gw-158 0.676041
10 gw-156 0.846807
10 gw-159 0
10 gw-162 0.747991
10 gw-244 0.611111
10 gw-181 0.713425
10 gw-275 0.714405
10 gw-276 0.297521
10 gw-166 0
10 gw-171 0.773984
10 gw-173 0.138115
10 gw-172 0
10 gw-174 0
10 gw-182 0.306159
10 gw-239 0.340265
10 gw-285 0
10 gw-242 0.749452
10 gw-229 0.375
10 gw-213 0.7225
10 gw-187 0.5
10 gw-188 0
10 gw-218 0.498615
10 gw-207 0.35124
10 gw-217 0.60125
10 gw-255 0
10 gw-214 0.60125
10 gw-245 0
10 gw-222 0
10 gw-208 0.27412
10 gw-295 0.306159
10 gw-312 0.634921
10 gw-219 0
10 gw-304 0.511736
10 gw-293 0
10 gw-234 0.480226
10 gw-303 0
10 gw-235 0.13533
10 gw-247 0
10 gw-316 0
10 gw-317 0
10 gw-279 0
11 gw-123 0.70296
11 gw-125 0
11 gw-178 0.0907029
11 gw-195 0.0907029
11 gw-127 0
11 gw-150 0.820988
11 gw-152 0.0907029
11 gw-257 0
11 gw-282 0
11 gw-133 0.244898
11 gw-134 0.375
11 gw-202 0.592593
11 gw-262 0
11 gw-236 0.42248
11 gw-237 0
11 gw-203 0
11 gw-200 0.197531
11 gw-201 0.395
11 gw-137 0.399093
11 gw-138 0
11 gw-140 0.507937
11 gw-141 0.0907029
11 gw-228 0.321995
11 gw-170 0.687029
11 gw-227 0.277778
11 gw-147 0
11 gw-149 0.387812
11 gw-158 0.700408
11 gw-156 0.839863
11 gw-159 0.165289
11 gw-162 0.74537
11 gw-244 0.607408
11 gw-181 0.708333
11 gw-275 0.710059
11 gw-276 0.277778
11 gw-166 0
11 gw-171 0.694649
11 gw-173 0.0915311
11 gw-172 0
11 gw-174 0
11 gw-182 0.277778
11 gw-239 0.32
11 gw-285 0
11 gw-242 0.75
11 gw-229 0.161328
11 gw-213 0.716049
11 gw-187 0.498615
11 gw-188 0
11 gw-218 0.5
11 gw-207 0.32
11 gw-217 0.592593
11 gw-255 0
11 gw-214 0.592593
11 gw-245 0
11 gw-222 0
11 gw-208 0.244898
11 gw-295 0.277778
11 gw-312 0.625
11 gw-219 0
11 gw-304 0.5
11 gw-293 0
11 gw-234 0.438563
11 gw-303 0
11 gw-235 0.0907029
11 gw-247 0
11 gw-316 0
11 gw-317 0
11 gw-279 0
12 gw-123 0.673388
12 gw-125 0
12 gw-178 0.0932334
12 gw-195 0.0941084
12 gw-127 0
12 gw-150 0.75278
12 gw-152 0.0919508
12 gw-257 0
12 gw-282 0
12 gw-133 0.244898
12 gw-134 0.324865
12 gw-202 0.592593
12 gw-262 0
12 gw-236 0.48083
12 gw-237 0
12 gw-203 0
12 gw-200 0.43612
12 gw-201 0.433609
12 gw-137 0.494281
12 gw-138 0
12 gw-140 0.545511
12 gw-141 0.0923744
12 gw-228 0.39721
12 gw-170 0.758757
12 gw-227 0.277778
12 gw-147 0
12 gw-149 0.375
12 gw-158 0.691516
12 gw-156 0.772064
12 gw-159 0
12 gw-162 0.741224
12 gw-244 0.645524
12 gw-181 0.708333
12 gw-275 0.710294
12 gw-276 0.277778
12 gw-166 0
12 gw-171 0.738362
12 gw-173 0.104392
12 gw-172 0
12 gw-174 0
12 gw-182 0.277778
12 gw-239 0.32
12 gw-285 0
12 gw-242 0.75
12 gw-229 0.104938
12 gw-213 0.716049
12 gw-187 0.5
12 gw-188 0
12 gw-218 0.5
12 gw-207 0.32
12 gw-217 0.592593
12 gw-255 0
12 gw-214 0.592593
12 gw-245 0
12 gw-222 0
12 gw-208 0.244898
12 gw-295 0.277778
12 gw-312 0.637119
12 gw-219 0
12 gw-304 0.5
12 gw-293 0
12 gw-234 0.40814
12 gw-303 0
12 gw-235 0.0963694
12 gw-247 0
12 gw-316 0
12 gw-317 0
12 gw-279 0
13 gw-123 0.64576
13 gw-125 0
13 gw-178 0.0907029
13 gw-195 0.0907029
13 gw-127 0
13 gw-150 0.739261
13 gw-152 0.0911151
13 gw-257 0
13 gw-282 0
13 gw-133 0.244898
13 gw-134 0.165289
13 gw-202 0.592593
13 gw-262 0
13 gw-236 0.221989
13 gw-237 0
13 gw-203 0
13 gw-200 0.595327
13 gw-201 0.430839
13 gw-137 0.45805
13 gw-138 0
13 gw-140 0.557823
13 gw-141 0.0911151
13 gw-228 0.430839
13 gw-170 0.713354
13 gw-227 0.277778
13 gw-147 0
13 gw-149 0.375
13 gw-158 0.718917
13 gw-156 0.774462
13 gw-159 0
13 gw-162 0.745069
13 gw-244 0.641885
13 gw-181 0.708333
13 gw-275 0.710294
13 gw-276 0.277778
13 gw-166 0
13 gw-171 0.640947
13 gw-173 0.0911151
13 gw-172 0
13 gw-174 0
13 gw-182 0.277778
13 gw-239 0.32
13 gw-285 0
13 gw-242 0.75
13 gw-229 0.0907029
13 gw-213 0.716049
13 gw-187 0.5
13 gw-188 0
13 gw-218 0.5
13 gw-207 0.32
13 gw-217 0.592593
13 gw-255 0
13 gw-214 0.592593
13 gw-245 0
13 gw-222 0
13 gw-208 0.244898
13 gw-295 0.277778
13 gw-312 0.636401
13 gw-219 0
13 gw-304 0.5
13 gw-293 0
13 gw-234 0.45805
13 gw-303 0
13 gw-235 0.0907029
13 gw-247 0
13 gw-316 0
13 gw-317 0
13 gw-279 0
14 gw-123 0.672741
14 gw-125 0
14 gw-178 0.0923744
14 gw-195 0.0968347
14 gw-127 0
14 gw-150 0.796526
14 gw-152 0.0923744
14 gw-257 0
14 gw-282 0
14 gw-133 0.244898
14 gw-134 0.131784
14 gw-202 0.592593
14 gw-262 0
14 gw-236 0.276766
14 gw-237 0
14 gw-203 0
14 gw-200 0.485004
14 gw-201 0.384339
14 gw-137 0.427891
14 gw-138 0
14 gw-140 0.475017
14 gw-141 0.0945521
14 gw-228 0.349297
14 gw-170 0.644601
14 gw-227 0.277778
14 gw-147 0
14 gw-149 0.375
14 gw-158 0.720587
