Time Node t1 t2 gini
5 39 DetectionApp:GetPit(): [DEBUG] 0
5 40 DetectionApp:GetPit(): [DEBUG] 0.875
5 41 DetectionApp:GetPit(): [DEBUG] 0
5 42 DetectionApp:GetPit(): [DEBUG] 0
5 43 DetectionApp:GetPit(): [DEBUG] 0
5 44 DetectionApp:GetPit(): [DEBUG] 0
5 45 DetectionApp:GetPit(): [DEBUG] 0
5 46 DetectionApp:GetPit(): [DEBUG] 0.5
5 47 DetectionApp:GetPit(): [DEBUG] 0
5 48 DetectionApp:GetPit(): [DEBUG] 0
5 49 DetectionApp:GetPit(): [DEBUG] 0
5 50 DetectionApp:GetPit(): [DEBUG] 0
5 51 DetectionApp:GetPit(): [DEBUG] 0
5 52 DetectionApp:GetPit(): [DEBUG] 0
5 53 DetectionApp:GetPit(): [DEBUG] 0
5 54 DetectionApp:GetPit(): [DEBUG] 0
5 55 DetectionApp:GetPit(): [DEBUG] 0
5 56 DetectionApp:GetPit(): [DEBUG] 0
5 57 DetectionApp:GetPit(): [DEBUG] 0
5 58 DetectionApp:GetPit(): [DEBUG] 0
5 59 DetectionApp:GetPit(): [DEBUG] 0.5
5 60 DetectionApp:GetPit(): [DEBUG] 0
5 61 DetectionApp:GetPit(): [DEBUG] 0
5 62 DetectionApp:GetPit(): [DEBUG] 0
5 63 DetectionApp:GetPit(): [DEBUG] 0
5 64 DetectionApp:GetPit(): [DEBUG] 0
5 65 DetectionApp:GetPit(): [DEBUG] 0
5 66 DetectionApp:GetPit(): [DEBUG] 0
5 67 DetectionApp:GetPit(): [DEBUG] 0
5 68 DetectionApp:GetPit(): [DEBUG] 0
5 69 DetectionApp:GetPit(): [DEBUG] 0
5 70 DetectionApp:GetPit(): [DEBUG] 0
5 71 DetectionApp:GetPit(): [DEBUG] 0.5
5 72 DetectionApp:GetPit(): [DEBUG] 0
5 73 DetectionApp:GetPit(): [DEBUG] 0
5 74 DetectionApp:GetPit(): [DEBUG] 0
5 75 DetectionApp:GetPit(): [DEBUG] 0
5 76 DetectionApp:GetPit(): [DEBUG] 0
5 77 DetectionApp:GetPit(): [DEBUG] 0
5 78 DetectionApp:GetPit(): [DEBUG] 0
5 79 DetectionApp:GetPit(): [DEBUG] 0
5 80 DetectionApp:GetPit(): [DEBUG] 0.666667
5 81 DetectionApp:GetPit(): [DEBUG] 0
5 82 DetectionApp:GetPit(): [DEBUG] 0
5 83 DetectionApp:GetPit(): [DEBUG] 0
5 84 DetectionApp:GetPit(): [DEBUG] 0
5 85 DetectionApp:GetPit(): [DEBUG] 0
5 86 DetectionApp:GetPit(): [DEBUG] 0
5 87 DetectionApp:GetPit(): [DEBUG] 0
5 88 DetectionApp:GetPit(): [DEBUG] 0
5 89 DetectionApp:GetPit(): [DEBUG] 0
5 90 DetectionApp:GetPit(): [DEBUG] 0
6 23 DetectionApp:GetPit(): [DEBUG] 0
6 24 DetectionApp:GetPit(): [DEBUG] 0
6 25 DetectionApp:GetPit(): [DEBUG] 0
6 26 DetectionApp:GetPit(): [DEBUG] 0.875
6 27 DetectionApp:GetPit(): [DEBUG] 0
6 28 DetectionApp:GetPit(): [DEBUG] 0
6 29 DetectionApp:GetPit(): [DEBUG] 0
6 30 DetectionApp:GetPit(): [DEBUG] 0
6 31 DetectionApp:GetPit(): [DEBUG] 0
6 32 DetectionApp:GetPit(): [DEBUG] 0.8
6 33 DetectionApp:GetPit(): [DEBUG] 0
6 34 DetectionApp:GetPit(): [DEBUG] 0.857143
6 35 DetectionApp:GetPit(): [DEBUG] 0.5
6 36 DetectionApp:GetPit(): [DEBUG] 0.5
6 37 DetectionApp:GetPit(): [DEBUG] 0
6 38 DetectionApp:GetPit(): [DEBUG] 0
6 39 DetectionApp:GetPit(): [DEBUG] 0
6 40 DetectionApp:GetPit(): [DEBUG] 0.888889
6 41 DetectionApp:GetPit(): [DEBUG] 0
6 42 DetectionApp:GetPit(): [DEBUG] 0
6 43 DetectionApp:GetPit(): [DEBUG] 0
6 44 DetectionApp:GetPit(): [DEBUG] 0
6 45 DetectionApp:GetPit(): [DEBUG] 0
6 46 DetectionApp:GetPit(): [DEBUG] 0.5
6 47 DetectionApp:GetPit(): [DEBUG] 0
6 48 DetectionApp:GetPit(): [DEBUG] 0
6 49 DetectionApp:GetPit(): [DEBUG] 0
6 50 DetectionApp:GetPit(): [DEBUG] 0
6 51 DetectionApp:GetPit(): [DEBUG] 0
6 52 DetectionApp:GetPit(): [DEBUG] 0
6 53 DetectionApp:GetPit(): [DEBUG] 0
6 54 DetectionApp:GetPit(): [DEBUG] 0
6 55 DetectionApp:GetPit(): [DEBUG] 0
6 56 DetectionApp:GetPit(): [DEBUG] 0
6 57 DetectionApp:GetPit(): [DEBUG] 0
6 58 DetectionApp:GetPit(): [DEBUG] 0
6 59 DetectionApp:GetPit(): [DEBUG] 0.5
6 60 DetectionApp:GetPit(): [DEBUG] 0
6 61 DetectionApp:GetPit(): [DEBUG] 0
6 62 DetectionApp:GetPit(): [DEBUG] 0
6 63 DetectionApp:GetPit(): [DEBUG] 0
6 64 DetectionApp:GetPit(): [DEBUG] 0
6 65 DetectionApp:GetPit(): [DEBUG] 0
6 66 DetectionApp:GetPit(): [DEBUG] 0
6 67 DetectionApp:GetPit(): [DEBUG] 0
6 68 DetectionApp:GetPit(): [DEBUG] 0
6 69 DetectionApp:GetPit(): [DEBUG] 0
6 70 DetectionApp:GetPit(): [DEBUG] 0
6 71 DetectionApp:GetPit(): [DEBUG] 0.666667
6 72 DetectionApp:GetPit(): [DEBUG] 0
6 73 DetectionApp:GetPit(): [DEBUG] 0
6 74 DetectionApp:GetPit(): [DEBUG] 0.5
6 75 DetectionApp:GetPit(): [DEBUG] 0
6 76 DetectionApp:GetPit(): [DEBUG] 0
6 77 DetectionApp:GetPit(): [DEBUG] 0
6 78 DetectionApp:GetPit(): [DEBUG] 0
6 79 DetectionApp:GetPit(): [DEBUG] 0
6 80 DetectionApp:GetPit(): [DEBUG] 0.64
6 81 DetectionApp:GetPit(): [DEBUG] 0
6 82 DetectionApp:GetPit(): [DEBUG] 0
6 83 DetectionApp:GetPit(): [DEBUG] 0
6 84 DetectionApp:GetPit(): [DEBUG] 0
6 85 DetectionApp:GetPit(): [DEBUG] 0
6 86 DetectionApp:GetPit(): [DEBUG] 0
